file_path,type,maintainability_index,maintainability_grade,pylint_output
output_files/snippet_0_original_code.py,original_code,71.55988337877561,A,3.75/10
output_files/snippet_0_refactored_output.py,refactored_output,71.55988337877561,A,7.50/10
output_files/snippet_1_original_code.py,original_code,59.09323186778417,A,2.22/10
output_files/snippet_1_refactored_output.py,refactored_output,58.4465131633523,A,4.74/10
output_files/snippet_2_original_code.py,original_code,62.031342538564296,A,3.85/10
output_files/snippet_2_refactored_output.py,refactored_output,63.49171740008568,A,8.18/10
output_files/snippet_3_original_code.py,original_code,51.1358780436832,A,6.00/10
output_files/snippet_3_refactored_output.py,refactored_output,51.1358780436832,A,7.00/10
output_files/snippet_4_original_code.py,original_code,54.199778894238065,A,7.65/10
output_files/snippet_4_refactored_output.py,refactored_output,54.199778894238065,A,8.24/10
output_files/snippet_5_original_code.py,original_code,60.20413974600753,A,2.50/10
output_files/snippet_5_refactored_output.py,refactored_output,60.20413974600753,A,7.50/10
output_files/snippet_6_original_code.py,original_code,63.15924256574504,A,6.67/10
output_files/snippet_6_refactored_output.py,refactored_output,60.43383345830711,A,7.27/10
output_files/snippet_7_original_code.py,original_code,54.08768729118825,A,2.00/10
output_files/snippet_7_refactored_output.py,refactored_output,54.46126772761167,A,8.24/10
output_files/snippet_8_original_code.py,original_code,66.57278941459528,A,5.00/10
output_files/snippet_8_refactored_output.py,refactored_output,63.286512314410714,A,6.25/10
output_files/snippet_9_original_code.py,original_code,54.61930344508698,A,7.14/10
output_files/snippet_9_refactored_output.py,refactored_output,54.61930344508698,A,7.86/10
output_files/snippet_10_original_code.py,original_code,65.63997397571175,A,5.00/10
output_files/snippet_10_refactored_output.py,refactored_output,62.91456486827383,A,7.27/10
output_files/snippet_11_original_code.py,original_code,70.07591638631968,A,0.00/10
output_files/snippet_11_refactored_output.py,refactored_output,70.07591638631968,A,6.25/10
output_files/snippet_12_original_code.py,original_code,63.41118331057168,A,6.36/10
output_files/snippet_12_refactored_output.py,refactored_output,63.41118331057168,A,7.27/10
output_files/snippet_13_original_code.py,original_code,67.31120704700226,A,6.25/10
output_files/snippet_13_refactored_output.py,refactored_output,70.05764630766872,A,7.78/10
output_files/snippet_14_original_code.py,original_code,51.53495524294582,A,5.50/10
output_files/snippet_14_refactored_output.py,refactored_output,51.53495524294582,A,9.00/10
output_files/snippet_15_original_code.py,original_code,56.76033616227647,A,4.00/10
output_files/snippet_15_refactored_output.py,refactored_output,56.71985481436912,A,8.67/10
output_files/snippet_16_original_code.py,original_code,66.12200722551172,A,2.50/10
output_files/snippet_16_refactored_output.py,refactored_output,67.57209011797669,A,8.33/10
output_files/snippet_17_original_code.py,original_code,48.06263520545112,A,5.60/10
output_files/snippet_17_refactored_output.py,refactored_output,48.06263520545112,A,8.40/10
output_files/snippet_18_original_code.py,original_code,70.37870086981145,A,2.35/10
output_files/snippet_18_refactored_output.py,refactored_output,68.454013396497,A,3.12/10
output_files/snippet_19_original_code.py,original_code,56.501201775839604,A,8.00/10
output_files/snippet_19_refactored_output.py,refactored_output,64.16230734064045,A,7.00/10
output_files/snippet_20_original_code.py,original_code,64.10264428824641,A,4.29/10
output_files/snippet_20_refactored_output.py,refactored_output,62.66755483375076,A,7.37/10
output_files/snippet_21_original_code.py,original_code,61.915921309429386,A,2.50/10
output_files/snippet_21_refactored_output.py,refactored_output,61.21139363487673,A,7.50/10
output_files/snippet_22_original_code.py,original_code,58.44112072933011,A,2.38/10
output_files/snippet_22_refactored_output.py,refactored_output,58.44112072933011,A,5.24/10
output_files/snippet_23_original_code.py,original_code,72.35615532346304,A,0.00/10
output_files/snippet_23_refactored_output.py,refactored_output,72.35615532346304,A,0.00/10
output_files/snippet_24_original_code.py,original_code,55.69417369733058,A,3.46/10
output_files/snippet_24_refactored_output.py,refactored_output,55.199964087161916,A,5.77/10
output_files/snippet_25_original_code.py,original_code,68.01352194592255,A,4.44/10
output_files/snippet_25_refactored_output.py,refactored_output,68.01352194592255,A,7.78/10
output_files/snippet_26_original_code.py,original_code,72.82491762469213,A,2.86/10
output_files/snippet_26_refactored_output.py,refactored_output,72.82491762469213,A,5.71/10
output_files/snippet_27_original_code.py,original_code,73.57307076494241,A,5.00/10
output_files/snippet_27_refactored_output.py,refactored_output,72.32272855580005,A,6.25/10
output_files/snippet_28_original_code.py,original_code,55.73749646919214,A,4.38/10
output_files/snippet_28_refactored_output.py,refactored_output,55.989535954039845,A,7.50/10
output_files/snippet_29_original_code.py,original_code,53.191191706244915,A,5.71/10
output_files/snippet_29_refactored_output.py,refactored_output,53.191191706244915,A,9.05/10
output_files/snippet_30_original_code.py,original_code,57.3964189919137,A,7.33/10
output_files/snippet_30_refactored_output.py,refactored_output,57.3964189919137,A,8.67/10
output_files/snippet_31_original_code.py,original_code,56.755537493720944,A,5.79/10
output_files/snippet_31_refactored_output.py,refactored_output,56.755537493720944,A,8.95/10
output_files/snippet_32_original_code.py,original_code,55.17257045447109,A,6.43/10
output_files/snippet_32_refactored_output.py,refactored_output,55.73911523411369,A,8.00/10
output_files/snippet_33_original_code.py,original_code,53.23740750508799,A,5.79/10
output_files/snippet_33_refactored_output.py,refactored_output,54.052403742825014,A,8.42/10
output_files/snippet_34_original_code.py,original_code,62.441250152976835,A,1.00/10
output_files/snippet_34_refactored_output.py,refactored_output,62.441250152976835,A,8.00/10
output_files/snippet_35_original_code.py,original_code,59.78797386365937,A,6.00/10
output_files/snippet_35_refactored_output.py,refactored_output,57.846046502387644,A,6.43/10
output_files/snippet_36_original_code.py,original_code,53.41838535342656,A,6.09/10
output_files/snippet_36_refactored_output.py,refactored_output,51.151305372849905,A,7.86/10
output_files/snippet_37_original_code.py,original_code,60.43474793855017,A,8.00/10
output_files/snippet_37_refactored_output.py,refactored_output,60.43474793855017,A,8.67/10
output_files/snippet_38_original_code.py,original_code,63.74638741177351,A,2.73/10
output_files/snippet_38_refactored_output.py,refactored_output,63.74638741177351,A,6.36/10
output_files/snippet_39_original_code.py,original_code,59.845710629782644,A,7.33/10
output_files/snippet_39_refactored_output.py,refactored_output,59.845710629782644,A,8.00/10
output_files/snippet_40_original_code.py,original_code,63.495944614386715,A,5.56/10
output_files/snippet_40_refactored_output.py,refactored_output,60.191591753402164,A,8.18/10
output_files/snippet_41_original_code.py,original_code,60.99313543277607,A,7.50/10
output_files/snippet_41_refactored_output.py,refactored_output,60.291059907109236,A,8.46/10
